DateTime,AddedIPs,RemovedIPs
1608872928,57,91
1608873575,52,58
1608874295,49,46
1608874832,14,11
1608875014,37,77
1608875734,44,50
1608876454,53,83
1608876737,10,20
1608877175,23,75
1608877895,58,58
1608878681,59,83
1608879335,54,63
1608880054,47,49
1608880578,11,16
1608880775,38,51
1608881494,59,37
1608882215,71,39
1608882491,17,14
1608882935,47,56
1608883655,39,45
1608884480,58,68
1608885094,63,46
1608885814,76,44
1608886332,13,5
1608886535,42,51
1608887255,42,85
1608887975,41,46
1608888694,43,36
1608889217,12,4
1608889415,39,34
1608890135,48,38
1608890854,47,49
1608891137,12,12
1608891574,39,76
1608892295,38,43
1608893081,77,62
1608893735,78,347
1608894455,39,34
1608894987,13,9
1608895175,55,40
1608895895,54,44
1608896614,54,33
1608896925,14,8
1608897131,14,4
1608897335,70,33
1608898055,65,50
1608898860,72,34
1608899495,45,38
1608900215,49,36
1608900779,13,9
1608900934,32,53
1608901655,41,42
1608902375,27,64
1608902660,13,7
1608903094,39,66
1608903815,48,50
1608904535,66,46
1608905254,46,37
1608905975,47,32
1608906497,5,12
1608906694,34,30
1608907414,46,42
1608908134,58,34
1608908425,12,7
1608908854,33,39
1608909574,37,43
1608910369,64,63
1608911015,38,31
1608911791,56,36
1608912269,14,5
1608912455,29,37
1608913174,49,44
1608913895,46,42
1608914176,8,6
1608914614,52,36
1608915334,33,39
1608916134,50,36
1608916774,35,22
1608917494,39,45
1608918009,11,8
1608918215,37,41
1608918935,33,46
1608919654,35,59
1608919981,10,9
1608920374,32,48
1608921095,38,40
1608921905,61,56
1608922535,44,67
1608923255,26,45
1608923776,12,10
1608923975,31,53
1608924695,50,35
1608925414,20,41
1608925711,7,7
1608926135,37,33
1608926449,9,0
1608926854,35,27
1608927669,43,38
1608928294,29,34
1608929015,42,29
1608929539,8,8
1608929734,24,53
1608930455,26,33
1608931174,40,41
1608931480,12,7
1608931895,42,49
1608932615,41,28
1608933419,50,60
1608934055,69,29
1608934775,56,40
1608935299,17,0
1608935494,40,27
1608936214,44,49
1608936935,42,39
1608937654,36,50
1608938176,20,13
1608938374,19,29
1608939095,46,154
1608939814,32,41
1608940112,9,7
1608940534,30,42
1608941047,13,5
1608941254,45,62
1608942052,42,50
1608942757,16,31
1608943415,33,46
1608943938,15,10
1608944135,43,21
1608944854,37,36
1608945575,36,50
1608945861,15,6
1608946294,23,50
1608947015,41,33
1608947820,45,71
1608948454,30,46
1608949175,30,37
1608949706,14,0
1608949895,36,43
1608950614,42,32
1608951335,23,29
1608951634,12,15
1608952054,41,29
1608952775,27,27
1608953606,51,40
1608953765,2,0
1608954215,38,37
1608954934,34,45
1608955470,15,16
1608955712,66,37
1608956374,33,28
1608957095,39,41
1608957383,10,14
1608957814,34,58
1608958535,34,38
1608959326,43,55
1608959975,38,35
1608960694,71,28
1608961219,16,11
1608961415,47,35
1608962135,35,42
1608962854,59,45
1608963142,6,17
1608963575,44,24
1608964294,54,47
1608965074,57,57
1608965734,53,43
1608966455,35,28
1608966974,12,0
1608967174,57,37
1608967895,39,50
1608968614,35,48
1608968894,6,11
1608969334,37,47
1608970054,28,38
1608970324,11,3
1608970869,49,53
1608971494,32,48
1608972215,41,55
1608972752,5,20
1608972934,28,26
1608973655,37,34
1608974375,37,34
1608975095,53,40
1608975625,7,13
1608975815,62,33
1608976534,44,36
1608977255,35,31
1608977540,7,18
1608977975,46,31
1608978695,45,27
1608979493,54,65
1608980135,338,205
1608980854,38,38
1608981384,4,11
1608981575,27,44
1608982295,40,40
1608983014,37,38
1608983300,5,13
1608983736,38,54
1608984455,36,60
1608984979,23,4
1608985254,45,64
1608985894,45,34
1608986405,2,0
1608986615,34,43
1608987335,39,40
1608988054,44,39
1608988774,35,24
1608989069,7,19
1608989495,37,32
1608990214,34,30
1608991033,47,67
1608991655,25,57
1608992375,34,52
1608992906,18,12
1608993094,25,30
1608993815,31,44
1608994534,42,46
1608995255,33,29
1608995781,14,5
1608995975,46,25
1608996694,47,39
1608997444,76,42
1608997731,13,12
1608998134,48,37
1608998855,35,32
1608999634,85,41
