DateTime,Entries,UniqueIPs
1608694461,13039,13039
1608696994,13061,13061
1608698066,13035,13035
1608699206,13044,13044
1608701662,13057,13057
1608703400,13036,13036
1608705263,13038,13038
1608706434,13042,13042
1608708325,13040,13040
1608708864,12984,12984
1608711719,12995,12995
1608712465,12968,12968
1608713670,12976,12976
1608715524,12967,12967
1608716931,12937,12937
1608718456,12935,12935
1608719661,12931,12931
1608721050,12957,12957
1608722364,12939,12939
1608723264,12904,12904
1608724580,12924,12924
1608726180,12897,12897
1608726863,12869,12869
1608728681,12855,12855
1608730461,12835,12835
1608731714,12844,12844
1608733261,12840,12840
1608734612,7967,7967
1608735846,12778,12778
1608737664,12777,12777
1608739857,12750,12750
1608741260,12713,12713
1608742537,12736,12736
1608744863,12691,12691
1608746989,12709,12709
1608748312,12755,12755
1608749423,12754,12754
1608752064,12737,12737
1608755009,12764,12764
1608756626,12756,12756
1608759267,12744,12744
1608760757,12714,12714
1608762288,7967,7967
1608764349,12724,12724
1608765561,12737,12737
1608766467,12707,12707
1608768635,12706,12706
1608770061,12688,12688
1608772829,12674,12674
1608773664,12638,12638
1608776118,12641,12641
1608777264,12590,12590
1608780327,12596,12596
1608781900,12570,12570
1608783665,12584,12584
1608784466,12567,12567
1608787153,12574,12574
1608788064,12548,12548
1608789795,12546,12546
1608791665,12552,12552
1608793573,12541,12541
1608795268,12526,12526
1608798323,12533,12533
1608799804,7967,7967
1608801216,12505,12505
1608803423,12477,12477
1608804785,12471,12471
1608805911,12461,12461
1608807219,12492,12492
1608808984,12525,12525
1608810629,12514,12514
1608813265,12552,12552
1608815292,12565,12565
1608816862,12583,12583
1608819015,12590,12590
1608820467,12581,12581
1608823527,12587,12587
1608824937,12506,12506
1608827664,12445,12445
1608829058,12450,12450
1608830726,12444,12444
1608832546,12402,12402
1608834324,12399,12399
1608834867,12343,12343
1608836534,12315,12315
1608838464,12290,12290
1608840420,12300,12300
1608842067,12257,12257
1608844086,7967,7967
1608845667,12259,12259
1608849259,12231,12231
1608851097,12250,12250
1608852866,12201,12201
1608855586,12217,12217
1608860072,12212,12212
1608862886,12219,12219
1608863667,12187,12187
1608867266,12190,12190
1608870874,12209,12209
1608872269,12261,12261
1608873927,12347,12347
1608874465,12346,12346
1608877527,12413,12413
1608879565,12413,12413
1608880962,12450,12450
1608881662,12440,12440
1608883159,12431,12431
1608884724,12446,12446
1608886231,12427,12427
1608888862,12396,12396
1608891046,12386,12386
1608892475,12392,12392
1608894876,12402,12402
1608896065,12422,12422
1608899664,12395,12395
1608902265,12430,12430
1608905869,12407,12407
1608907196,12385,12385
1608908864,12417,12417
1608910460,12422,12422
1608913525,12453,12453
1608914748,12423,12423
1608916559,12440,12440
1608917666,12405,12405
1608919473,12364,12364
1608920730,12392,12392
1608922224,12353,12353
1608923852,12325,12325
1608925826,12288,12288
1608928467,12200,12200
1608931530,12172,12172
1608933026,12141,12141
1608935665,12148,12148
1608937353,12168,12168
1608939264,12174,12174
1608941744,12199,12199
1608942864,12193,12193
1608946467,12202,12202
1608949348,12202,12202
1608950066,12196,12196
1608953131,12212,12212
1608954630,12195,12195
1608956725,12214,12214
1608957843,12198,12198
1608960865,12189,12189
1608962619,12181,12181
1608963927,12193,12193
1608965424,12188,12188
1608966714,12155,12155
1608968061,12145,12145
1608971666,12176,12176
1608975263,12190,12190
1608978325,12258,12258
1608979684,12256,12256
1608982463,12285,12285
1608984228,12304,12304
1608986063,12322,12322
1608988908,12354,12354
1608989662,12338,12338
1608992724,12377,12377
1608996230,12401,12401
1608996864,12400,12400
1608998050,12419,12419
1608999567,12428,12428
1609000462,12417,12417
1609001687,12455,12455
1609003522,12461,12461
1609005024,12446,12446
1609007666,12444,12444
1609009726,12444,12444
1609011264,12436,12436
1609014327,12403,12403
1609015468,12360,12360
1609018468,12370,12370
1609019643,12362,12362
1609021214,7967,7967
1609022061,12355,12355
1609023446,12394,12394
1609025127,12416,12416
1609026626,12406,12406
1609029266,12357,12357
1609031000,12359,12359
1609032326,12376,12376
1609035926,12384,12384
1609036463,12346,12346
1609039529,12332,12332
1609040074,12272,12272
1609042853,12233,12233
1609043663,12155,12155
1609047265,12070,12070
1609048643,12070,12070
1609050121,7967,7967
1609050863,11982,11982
1609053922,11998,11998
1609054461,11990,11990
1609058067,11987,11987
1609059228,11999,11999
1609061121,12012,12012
1609061666,11971,11971
1609065263,11940,11940
1609068864,11932,11932
1609071084,11919,11919
1609072464,11876,11876
1609076065,11803,11803
1609079125,11749,11749
1609080313,11693,11693
1609081862,11675,11675
1609083268,11658,11658
1609084371,11649,11649
1609085970,11645,11645
1609086863,11612,11612
1609088042,11618,11618
1609089413,11601,11601
1609090468,11572,11572
1609091943,7967,7967
1609093528,11574,11574
1609094061,11550,11550
1609096595,11566,11566
1609097664,11553,11553
1609099359,11552,11552
1609100533,11577,11577
1609101263,11549,11549
1609103403,11534,11534
1609104858,7967,7967
1609107928,11484,11484
1609108466,11462,11462
1609112066,11457,11457
1609113284,11467,11467
1609114699,7967,7967
1609115662,11430,11430
1609119269,11414,11414
1609122867,11410,11410
1609125932,11420,11420
1609127424,11405,11405
1609130074,11385,11385
1609133667,11386,11386
1609134876,11386,11386
1609136729,11409,11409
1609137267,11396,11396
1609140863,11380,11380
1609142685,11376,11376
1609144465,11365,11365
1609146118,11347,11347
1609147525,11361,11361
1609149023,11314,11314
1609150674,11296,11296
1609152635,11259,11259
